DOID:3121 DOID:12298
DOID:3122 DOID:12639
DOID:3128 DOID:9746
DOID:3128 DOID:14110
DOID:3128 DOID:11374
DOID:3128 DOID:8170
DOID:2834 DOID:2838
DOID:2834 DOID:2839
DOID:2834 DOID:2833
DOID:2834 DOID:2835
DOID:11372 DOID:10487
DOID:11372 DOID:1770
DOID:0110734 DOID:3981
DOID:0110734 DOID:0110740
DOID:0110734 DOID:0110736
DOID:0110734 DOID:0110735
DOID:0110734 DOID:0110738
DOID:11212 DOID:11211
DOID:14330 DOID:0060893
DOID:14330 DOID:0060892
DOID:14330 DOID:0060894
DOID:0060116 DOID:2174
DOID:0060116 DOID:833
DOID:0060117 DOID:5728
DOID:0060117 DOID:1789
DOID:0060114 DOID:137
DOID:0060114 DOID:5402
DOID:0060114 DOID:135
DOID:0060114 DOID:125
DOID:0060115 DOID:0060090
DOID:0060115 DOID:0060096
DOID:0060115 DOID:2173
DOID:0060115 DOID:2001
DOID:0060115 DOID:482
DOID:0060115 DOID:14459
DOID:0060112 DOID:6211
DOID:0060112 DOID:3269
DOID:0060112 DOID:5474
DOID:0060112 DOID:5897
DOID:0060112 DOID:7880
DOID:0060112 DOID:5480
DOID:0060112 DOID:6469
DOID:0060110 DOID:9442
DOID:0060110 DOID:5476
DOID:0060110 DOID:9445
DOID:0060111 DOID:3705
DOID:0060111 DOID:5196
DOID:0060111 DOID:5478
DOID:0060111 DOID:5124
DOID:8893 DOID:9088
DOID:8893 DOID:8892
DOID:0060118 DOID:3463
DOID:0060119 DOID:8557
DOID:0060119 DOID:8533
DOID:47 DOID:11132
DOID:47 DOID:8634
DOID:47 DOID:13689
DOID:47 DOID:14654
DOID:47 DOID:2301
DOID:3419 DOID:4992
DOID:3419 DOID:5632
DOID:3419 DOID:6335
DOID:3419 DOID:6334
DOID:48 DOID:9912
DOID:48 DOID:12336
DOID:48 DOID:9402
DOID:48 DOID:5576
DOID:48 DOID:9365
DOID:48 DOID:47
DOID:48 DOID:12335
DOID:48 DOID:10835
DOID:48 DOID:1529
DOID:48 DOID:11997
DOID:48 DOID:12333
DOID:8549 DOID:8717
DOID:8549 DOID:8529
DOID:3418 DOID:367
DOID:3418 DOID:12491
DOID:3418 DOID:3816
DOID:3418 DOID:339
DOID:3418 DOID:13814
DOID:3418 DOID:14423
DOID:3605 DOID:3604
DOID:3605 DOID:5746
DOID:3605 DOID:7438
DOID:1712 DOID:5805
DOID:1712 DOID:1929
DOID:11963 DOID:13976
DOID:11963 DOID:6297
DOID:11963 DOID:13921
DOID:11963 DOID:13147
DOID:11963 DOID:13922
DOID:0050292 DOID:0050072
DOID:0050292 DOID:12662
DOID:0050292 DOID:13450
DOID:0050292 DOID:14049
DOID:0050292 DOID:1731
DOID:0050292 DOID:11186
DOID:0050292 DOID:12663
DOID:0050292 DOID:14484
DOID:0050291 DOID:2409
DOID:4895 DOID:6837
DOID:4897 DOID:5923
DOID:4897 DOID:3494
DOID:4897 DOID:4682
DOID:3717 DOID:10541
DOID:3717 DOID:6595
DOID:3717 DOID:6217
DOID:3717 DOID:5593
DOID:0050871 DOID:13223
DOID:3711 DOID:5306
DOID:3711 DOID:3710
DOID:3711 DOID:8096
DOID:3711 DOID:8097
DOID:3711 DOID:6481
DOID:3711 DOID:6594
DOID:1979 DOID:11864
DOID:5419 DOID:0070081
DOID:5419 DOID:0070080
DOID:5419 DOID:0070083
DOID:5419 DOID:0070082
DOID:5419 DOID:0070078
DOID:5419 DOID:0070079
DOID:5419 DOID:0070087
DOID:5419 DOID:0070086
DOID:5419 DOID:0070089
DOID:5419 DOID:0070088
DOID:5419 DOID:0070077
DOID:5419 DOID:0080281
DOID:5419 DOID:1229
DOID:5419 DOID:0070091
DOID:5419 DOID:0070090
DOID:5419 DOID:0070085
DOID:5419 DOID:0070084
DOID:1970 DOID:1973
DOID:5410 DOID:7081
DOID:3918 DOID:5403
DOID:3918 DOID:7235
DOID:3918 DOID:3892
DOID:3918 DOID:7735
DOID:3918 DOID:3917
DOID:0050902 DOID:0050899
DOID:0050902 DOID:3857
DOID:0050902 DOID:3873
DOID:0050902 DOID:3868
DOID:0050902 DOID:3869
DOID:0050902 DOID:3864
DOID:0050902 DOID:3860
DOID:3042 DOID:3819
DOID:3042 DOID:0040072
DOID:3042 DOID:0040101
DOID:3042 DOID:0040064
DOID:3042 DOID:0040075
DOID:3042 DOID:0040074
DOID:3042 DOID:0040068
DOID:3042 DOID:0040069
DOID:3042 DOID:0040079
DOID:3042 DOID:0040058
DOID:3042 DOID:0040052
DOID:3042 DOID:0040102
DOID:3042 DOID:0040057
DOID:0080199 DOID:0050861
DOID:2444 DOID:2449
DOID:2444 DOID:3946
DOID:2999 DOID:5331
DOID:2998 DOID:512
DOID:2998 DOID:5834
DOID:2998 DOID:5557
DOID:2998 DOID:5842
DOID:2998 DOID:4739
DOID:2998 DOID:12276
DOID:2998 DOID:4084
DOID:2998 DOID:5680
DOID:2998 DOID:12253
DOID:2998 DOID:12286
DOID:2994 DOID:6052
DOID:2994 DOID:6053
DOID:2994 DOID:3306
DOID:2994 DOID:4717
DOID:2994 DOID:4440
DOID:2994 DOID:688
DOID:10763 DOID:10591
DOID:10763 DOID:6432
DOID:10763 DOID:11130
DOID:10763 DOID:10825
DOID:10763 DOID:10824
DOID:2664 DOID:173
DOID:2664 DOID:5876
DOID:2664 DOID:2661
DOID:2664 DOID:2065
DOID:2664 DOID:3896
DOID:2660 DOID:2658
DOID:2660 DOID:7079
DOID:2668 DOID:5758
DOID:2668 DOID:2667
DOID:620 DOID:12451
DOID:626 DOID:8158
DOID:626 DOID:0060002
DOID:626 DOID:0080301
DOID:626 DOID:0060303
DOID:626 DOID:0060302
DOID:626 DOID:0060301
DOID:626 DOID:0060300
DOID:626 DOID:0060299
DOID:626 DOID:0050419
DOID:626 DOID:0060295
DOID:626 DOID:0060297
DOID:626 DOID:8354
DOID:626 DOID:0060298
DOID:627 DOID:0060008
DOID:627 DOID:0060009
DOID:627 DOID:0060019
DOID:627 DOID:5810
